basin,melt_season,granule,region,xatc_total,nphot_total
B-C,2018-19,ATL03_20181101213926_05230110_006_02.h5,ANT_1000_East_B-C.geojson,3753590.699,13739553
B-C,2018-19,ATL03_20181102102712_05310112_006_02.h5,ANT_1000_East_B-C.geojson,2671733.267,38564340
B-C,2018-19,ATL03_20181103100133_05460112_006_02.h5,ANT_1000_East_B-C.geojson,781743.413,28334797
B-C,2018-19,ATL03_20181106101859_05920112_006_02.h5,ANT_1000_East_B-C.geojson,2265595.11,37271644
B-C,2018-19,ATL03_20181106210537_05990110_006_02.h5,ANT_1000_East_B-C.geojson,1083310.147,1629751
B-C,2018-19,ATL03_20181107095318_06070112_006_02.h5,ANT_1000_East_B-C.geojson,1427078.525,40315128
B-C,2018-19,ATL03_20181109212258_06450110_006_02.h5,ANT_1000_East_B-C.geojson,2896879.471,19723390
B-C,2018-19,ATL03_20181110101041_06530112_006_02.h5,ANT_1000_East_B-C.geojson,2615284.746,47418675
B-C,2018-19,ATL03_20181110205719_06600110_006_02.h5,ANT_1000_East_B-C.geojson,2212335.851,16889975
B-C,2018-19,ATL03_20181111094502_06680112_006_02.h5,ANT_1000_East_B-C.geojson,1831080.369,50005322
B-C,2018-19,ATL03_20181113211437_07060110_006_02.h5,ANT_1000_East_B-C.geojson,1623912.69,3384330
B-C,2018-19,ATL03_20181114100220_07140112_006_02.h5,ANT_1000_East_B-C.geojson,1669685.197,30607448
B-C,2018-19,ATL03_20181114204857_07210110_006_02.h5,ANT_1000_East_B-C.geojson,2855759.929,24772581
B-C,2018-19,ATL03_20181115093639_07290112_006_02.h5,ANT_1000_East_B-C.geojson,2198339.993,59682063
B-C,2018-19,ATL03_20181118095353_07750112_006_02.h5,ANT_1000_East_B-C.geojson,1181714.011,18650428
B-C,2018-19,ATL03_20181118204030_07820110_006_02.h5,ANT_1000_East_B-C.geojson,3078857.082,17884915
B-C,2018-19,ATL03_20181119092815_07900112_006_02.h5,ANT_1000_East_B-C.geojson,2527672.3,51653319
B-C,2018-19,ATL03_20181122094530_08360112_006_02.h5,ANT_1000_East_B-C.geojson,927574.243,16422329
B-C,2018-19,ATL03_20181122203207_08430110_006_02.h5,ANT_1000_East_B-C.geojson,2824303.1,22274042
